Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
Mohammad Iqbal (CAN),2008-2008,3,3,0,27,22,9.00,39,69.23,0,0,0,1,0,
Muhammad Wafiq (MAL),2019-2021,7,5,2,27,12,9.00,29,93.10,0,0,1,1,2,
Muhammad Younis (BHR),2020-2020,3,3,0,27,25,9.00,21,128.57,0,0,1,5,0,
Nadif Chowdhury (BDESH),2006-2007,3,3,0,27,12,9.00,23,117.39,0,0,0,2,0,
SS Pathirana (SL),2016-2017,5,5,0,27,14,5.40,24,112.50,0,0,0,3,0,
Shapoor Zadran (AFG),2010-2020,36,13,6,27,13,3.85,65,41.53,0,0,3,0,3,
Shoaib Qureshi (Fin),2019-2019,5,4,0,27,12,6.75,34,79.41,0,0,1,2,0,
MP Vaughan (ENG),2005-2007,2,2,0,27,27,13.50,22,122.72,0,0,1,4,0,
Waqas Ali (Belg),2019-2019,2,2,0,27,14,13.50,31,87.09,0,0,0,0,2,
Zulfiqar Babar (PAK),2013-2014,7,3,3,27,13*,-,27,100.00,0,0,0,2,1,
A Ahmadhel (BUL),2019-2020,6,4,1,26,15,8.66,31,83.87,0,0,0,2,0,
SE Aquilina (MLT),2019-2020,7,5,0,26,14,5.20,37,70.27,0,0,0,2,0,
TB de Bruyn (SA),2017-2017,2,2,0,26,19,13.00,16,162.50,0,0,0,3,1,
D Ganga (WI),2006-2006,1,1,0,26,26,26.00,31,83.87,0,0,0,3,1,
R Goodwin (PHI),2019-2019,4,4,1,26,16*,8.66,36,72.22,0,0,1,1,0,
Izatullah Dawlatzai (AFG/GER),2012-2020,16,4,3,26,24*,26.00,16,162.50,0,0,0,2,2,
G Kansonkho (MWI),2019-2019,6,3,1,26,22,13.00,21,123.80,0,0,1,4,0,
CT Mumba (ZIM),2020-2020,2,2,1,26,25,26.00,17,152.94,0,0,0,3,1,
GBW Munaweera (QAT),2019-2020,12,4,2,26,8,13.00,27,96.29,0,0,0,2,0,
TJ Murtagh (IRE),2012-2016,14,5,3,26,12*,13.00,25,104.00,0,0,0,0,1,
LN Oluoch (KENYA),2013-2019,10,6,3,26,7*,8.66,33,78.78,0,0,0,2,0,
E Otieno (KENYA),2012-2019,18,8,3,26,8,5.20,48,54.16,0,0,1,0,1,
TK Saha (Fin),2019-2019,4,4,3,26,18*,26.00,23,113.04,0,0,0,1,0,
C Wright (Caym),2019-2019,6,5,2,26,16*,8.66,31,83.87,0,0,1,2,0,
P Agnihotri (NOR),2019-2019,2,2,0,25,19,12.50,36,69.44,0,0,0,2,0,
RA Bhatti (CAN),2012-2012,4,4,1,25,11*,8.33,37,67.56,0,0,1,1,0,
AM Ellis (NZ),2012-2013,5,5,2,25,16,8.33,21,119.04,0,0,0,1,1,
CRD Fernando (SL),2006-2016,18,7,2,25,21,5.00,27,92.59,0,0,2,4,0,
G Goudie (SCOT),2010-2013,9,6,2,25,9*,6.25,20,125.00,0,0,0,2,1,
T Jamtsho (BHU),2019-2019,2,2,1,25,19,25.00,27,92.59,0,0,0,1,1,
JH Kiani (PHI),2019-2019,4,3,1,25,13,12.50,36,69.44,0,0,0,2,0,
RK Kleinveldt (SA),2008-2013,6,3,2,25,22,25.00,10,250.00,0,0,0,1,3,
KR Mayers (WI),2020-2020,2,2,1,25,20,25.00,18,138.88,0,0,0,1,2,
G Murali (CRC),2019-2019,3,3,0,25,14,8.33,44,56.81,0,0,0,1,0,
PM Nevill (AUS),2016-2016,9,5,4,25,10*,25.00,11,227.27,0,0,0,1,2,
SA Okpe (NGA),2019-2019,8,6,1,25,12,5.00,46,54.34,0,0,0,1,0,
Raza-ur-Rehman (CAN),2012-2013,5,4,0,25,10,6.25,29,86.20,0,0,0,3,0,
Shahriar Nafees (BDESH),2006-2006,1,1,0,25,25,25.00,17,147.05,0,0,0,3,1,
A Srivastav (Chile),2019-2019,4,4,0,25,21,6.25,37,67.56,0,0,2,2,0,
Tahir Dar (BHR),2019-2019,4,2,0,25,15,12.50,25,100.00,0,0,0,1,2,
Adil Hanif (BHR),2019-2019,4,2,0,24,16,12.00,23,104.34,0,0,0,3,0,
Azyan Farhath (Mald),2019-2019,2,2,1,24,22*,24.00,22,109.09,0,0,0,2,0,
MO Bacarese (GIBR),2019-2019,3,2,0,24,13,12.00,37,64.86,0,0,0,0,1,
OO Bascome (BMUDA),2008-2019,3,3,0,24,16,8.00,29,82.75,0,0,0,3,0,
JW Dernbach (ENG),2011-2014,34,7,2,24,12,4.80,21,114.28,0,0,1,3,0,
Fareed Ahmad (AFG),2016-2021,16,1,1,24,24*,-,15,160.00,0,0,0,4,0,
P Florin (ROM),2019-2021,13,6,3,24,14,8.00,29,82.75,0,0,1,2,0,
JN Gillespie (AUS),2005-2005,1,1,0,24,24,24.00,18,133.33,0,0,0,4,0,
Jagjit Singh (Peru),2019-2019,4,4,0,24,12,6.00,30,80.00,0,0,0,1,0,
Kaleemullah (OMAN),2017-2020,8,3,0,24,15,8.00,14,171.42,0,0,1,0,3,
S Lamichhane (ICC/NEPAL),2018-2021,26,10,4,24,9,4.00,34,70.58,0,0,2,1,0,
JN Loftie-Eaton (NAM),2021-2021,3,2,0,24,18,12.00,26,92.30,0,0,0,3,0,
MJ McClenaghan (ICC/NZ),2012-2018,29,8,4,24,10,6.00,23,104.34,0,0,2,1,2,
Najmul Hossain Shanto (BDESH),2019-2021,3,3,0,24,11,8.00,23,104.34,0,0,0,2,0,
Rameez Raja (2) (PAK),2011-2011,2,2,0,24,23,12.00,29,82.75,0,0,0,2,0,
B Regmi (NEPAL),2014-2019,18,11,4,24,11,3.42,56,42.85,0,0,1,2,0,
CP Schofield (ENG),2007-2007,4,4,3,24,9*,24.00,20,120.00,0,0,0,2,0,
KJ Abbott (SA),2013-2016,21,6,4,23,9*,11.50,20,115.00,0,0,0,2,0,
AB Barath (WI),2010-2011,2,2,0,23,15,11.50,39,58.97,0,0,0,3,0,
Bilawal Bhatti (PAK),2013-2015,9,4,2,23,13*,11.50,14,164.28,0,0,1,2,1,
DL Brangman (BMUDA),2019-2019,5,4,2,23,23*,11.50,25,92.00,0,0,2,2,1,
M Cope (LUX),2019-2020,6,5,3,23,13,11.50,33,69.69,0,0,0,3,0,
C Floyd (NL),2019-2019,2,2,1,23,21,23.00,23,100.00,0,0,0,2,1,
S Gasteratos (GRC),2021-2021,4,3,1,23,17*,11.50,33,69.69,0,0,0,3,0,
Hardev Singh (Chile),2019-2019,3,3,0,23,17,7.66,48,47.91,0,0,0,1,0,
Ibrahim Rizan (Mald),2019-2020,8,6,3,23,9*,7.66,33,69.69,0,0,0,2,0,
RK Inampud (Mex),2019-2019,3,3,2,23,17*,23.00,28,82.14,0,0,0,0,1,
N Master (Botsw),2019-2019,2,2,0,23,21,11.50,18,127.77,0,0,0,4,0,
T Panyangara (ZIM),2013-2016,14,5,4,23,17*,23.00,17,135.29,0,0,0,1,2,
VM Sachdev (PNM),2019-2019,2,2,1,23,12*,23.00,31,74.19,0,0,0,2,0,
PADLR Sandakan (SL),2017-2021,20,7,4,23,10,7.66,38,60.52,0,0,0,2,0,
Shafiul Islam (BDESH),2010-2020,20,6,1,23,16,4.60,33,69.69,0,0,1,1,1,
S Sohal (USA),2019-2019,3,2,0,23,18,11.50,29,79.31,0,0,0,1,1,
Zeeshan Khan (MLT),2020-2021,5,4,0,23,13,5.75,16,143.75,0,0,0,5,0,
Zulqarnain Haider (PAK),2007-2010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0,
Abdur Rehman (PAK),2007-2013,8,5,3,22,7*,11.00,29,75.86,0,0,0,0,0,
Aminul Islam (BDESH),2019-2020,7,4,3,22,9,22.00,18,122.22,0,0,0,4,0,
DNA Ankrah (Ghana),2019-2019,4,3,0,22,12,7.33,43,51.16,0,0,0,2,0,
PC de Silva (SL),2017-2017,2,2,0,22,21,11.00,22,100.00,0,0,0,1,0,
AB Dinda (INDIA),2009-2012,9,2,1,22,19,22.00,24,91.66,0,0,0,1,0,
PJ Ingram (NZ),2010-2010,3,3,1,22,20*,11.00,35,62.85,0,0,1,3,0,
M Morkel (SA/World),2007-2017,44,8,5,22,8*,7.33,18,122.22,0,0,0,3,1,
AK Muslar (Blz),2019-2019,3,3,0,22,13,7.33,27,81.48,0,0,1,1,2,
DP Nannes (AUS/NL),2009-2010,17,5,3,22,12*,11.00,18,122.22,0,0,0,1,1,
FL Reifer (WI),2009-2009,1,1,0,22,22,22.00,20,110.00,0,0,0,2,1,
Umair Ali (UAE),2015-2015,3,3,2,22,13,22.00,18,122.22,0,0,0,2,1,
Anas Khan (HKG),2014-2014,1,1,1,21,21*,-,28,75.00,0,0,0,2,0,
SE Bond (NZ),2005-2010,20,8,3,21,8*,4.20,21,100.00,0,0,2,2,0,
T Bukenya (UGA),2020-2021,4,3,3,21,12*,-,18,116.66,0,0,0,0,2,
BB Chari (ZIM),2019-2019,3,3,0,21,19,7.00,31,67.74,0,0,1,4,0,
MR Gillespie (NZ),2006-2008,11,6,4,21,7,10.50,29,72.41,0,0,0,0,0,
Imam-ul-Haq (PAK),2019-2019,2,2,0,21,14,10.50,25,84.00,0,0,0,2,0,
Kamran Shazad (UAE),2014-2014,3,2,0,21,21,10.50,17,123.52,0,0,1,1,2,
Karweng NG (PHI),2019-2019,4,3,0,21,14,7.00,30,70.00,0,0,0,0,1,
LD Madushanka (SL),2019-2019,2,2,0,21,20,10.50,26,80.76,0,0,0,1,0,
C Mahoney (Peru),2019-2019,3,1,0,21,21,21.00,27,77.77,0,0,0,1,0,
AF Milne (NZ),2010-2021,23,8,8,21,10*,-,23,91.30,0,0,0,1,0,
Mohammad Sami (PAK),2010-2016,13,4,3,21,8,21.00,30,70.00,0,0,0,2,0,
S Murari (CRC),2019-2019,3,3,1,21,16,10.50,20,105.00,0,0,0,2,0,
Rony Talukdar (BDESH),2015-2015,1,1,0,21,21,21.00,22,95.45,0,0,0,0,1,
Shoaib Akhtar (PAK),2006-2010,15,6,3,21,8*,7.00,16,131.25,0,0,1,2,1,
SJS Smith (SCOT),2010-2012,5,4,1,21,9,7.00,40,52.50,0,0,1,1,0,
DW Steyn (SA),2007-2020,47,12,6,21,5*,3.50,26,80.76,0,0,2,2,0,
SF Tiai (Samoa),2019-2019,4,3,0,21,11,7.00,22,95.45,0,0,1,2,0,
E Ul Haq (NOR),2019-2019,5,5,0,21,10,4.20,36,58.33,0,0,0,2,0,
Ainool Haqqiem (MAL),2019-2019,4,2,1,20,12,20.00,20,100.00,0,0,0,1,0,
RL Bhudia (KENYA),2007-2007,3,3,1,20,11*,10.00,20,100.00,0,0,1,0,2,
KK Flowers (Blz),2019-2019,3,3,1,20,17,10.00,33,60.60,0,0,1,3,0,
Z Groenewald (NAM),2019-2019,10,4,1,20,13,6.66,35,57.14,0,0,0,0,0,
DL Hemp (BMUDA),2008-2008,2,2,0,20,20,10.00,32,62.50,0,0,1,2,1,
R Heyns (LUX),2020-2020,2,1,0,20,20,20.00,16,125.00,0,0,0,3,1,
Naiem Bameri (Iran),2020-2020,3,3,0,20,10,6.66,57,35.08,0,0,0,0,0,
MJ North (AUS),2009-2009,1,1,0,20,20,20.00,21,95.23,0,0,0,1,0,
N Pokana (PNG),2016-2019,19,7,5,20,8*,10.00,28,71.42,0,0,0,0,0,
Rubel Hossain (BDESH),2009-2021,28,15,10,20,8*,4.00,36,55.55,0,0,4,1,0,
JRMVB Sanjaya (SL),2017-2017,8,5,2,20,6,6.66,18,111.11,0,0,0,3,0,
JOP Scamans (Fin),2019-2019,2,2,1,20,12*,20.00,19,105.26,0,0,0,1,0,
S Sreesanth (INDIA),2006-2008,10,3,2,20,19*,20.00,14,142.85,0,0,1,4,0,
A Uniyal (Chile),2019-2019,3,3,1,20,16*,10.00,23,86.95,0,0,0,2,0,
C Waiswa (UGA),2019-2020,7,2,1,20,14*,20.00,14,142.85,0,0,0,1,1,
Abdul Rashid (Belg),2019-2021,2,2,0,19,10,9.50,36,52.77,0,0,0,0,1,
Ali Waqar (CZK-R),2021-2021,4,2,0,19,15,9.50,24,79.16,0,0,0,2,0,
V Aravind (UAE),2020-2020,5,2,0,19,18,9.50,27,70.37,0,0,0,2,0,
JC Archer (ENG),2019-2021,12,2,1,19,18*,19.00,10,190.00,0,0,0,2,1,
Bilal Ahmed (SRB),2019-2019,1,1,0,19,19,19.00,28,67.85,0,0,0,1,1,
Bilal Khan (OMAN),2015-2020,35,11,8,19,6*,6.33,30,63.33,0,0,2,1,0,
CJ Dala (SA),2018-2021,10,4,3,19,12*,19.00,28,67.85,0,0,0,1,0,
P Danci (ROM),2019-2020,4,3,1,19,12,9.50,26,73.07,0,0,0,3,0,
Fahad Tariq (UAE),2016-2016,6,5,1,19,16,4.75,24,79.16,0,0,2,1,1,
Faisal Mehmood (Belg),2021-2021,3,3,0,19,18,6.33,22,86.36,0,0,1,1,1,
Imran Tahir (SA/World),2013-2019,38,4,3,19,9*,19.00,18,105.55,0,0,0,1,1,
Irfan Mir (Chile),2019-2019,4,3,2,19,18*,19.00,7,271.42,0,0,1,0,2,
Jaspreet Singh (ITA),2019-2019,5,2,0,19,11,9.50,23,82.60,0,0,0,1,0,
Junaid Sheikh (NOR),2019-2019,5,3,0,19,9,6.33,20,95.00,0,0,0,1,1,
HGJM Kulatunga (SL),2008-2008,2,2,0,19,11,9.50,38,50.00,0,0,0,0,0,
CJ McKay (AUS),2010-2013,6,4,2,19,7,9.50,22,86.36,0,0,1,1,1,
Mohammad Ahsan (KUW),2019-2019,6,3,0,19,8,6.33,20,95.00,0,0,0,0,1,
Muktar Ali (BDESH),2016-2016,1,1,1,19,19*,-,15,126.66,0,0,0,1,1,
SN Netravalkar (USA),2019-2019,8,2,1,19,12,19.00,15,126.66,0,0,0,1,1,
HM Nicholls (NZ),2016-2019,5,4,0,19,7,4.75,28,67.85,0,0,0,2,0,
F Nsubuga (UGA),2019-2021,8,4,1,19,9,6.33,19,100.00,0,0,0,0,2,
AE Paraam (SGP),2019-2019,3,2,1,19,10,19.00,10,190.00,0,0,0,2,1,
AM Phangiso (SA),2012-2018,16,3,0,19,13,6.33,29,65.51,0,0,0,1,0,
RLB Rambukwella (SL),2013-2016,2,1,0,19,19,19.00,16,118.75,0,0,0,1,1,
Sayed Monib (KUW),2020-2020,5,2,0,19,11,9.50,10,190.00,0,0,0,1,2,
L Shafeeg (Mald),2019-2020,6,3,1,19,19*,9.50,17,111.76,0,0,2,2,1,
Shaheen Shah Afridi (PAK),2018-2021,30,4,3,19,10*,19.00,18,105.55,0,0,0,1,1,
M Shumba (ZIM),2020-2021,4,2,0,19,11,9.50,28,67.85,0,0,0,0,1,
Sufyan Mehmood (OMAN),2015-2020,4,2,1,19,13*,19.00,41,46.34,0,0,0,2,0,
KOK Williams (WI),2016-2020,26,7,4,19,13*,6.33,17,111.76,0,0,1,1,1,
N Yordanov (BUL),2019-2019,2,2,1,19,19*,19.00,11,172.72,0,0,1,0,2,
JD Baker (Samoa),2019-2019,4,3,3,18,11*,-,14,128.57,0,0,0,3,0,
V Baskaran (SGP),2019-2020,13,5,3,18,14*,9.00,23,78.26,0,0,1,0,0,
LA Collado (GIBR),2019-2019,4,3,2,18,8,18.00,34,52.94,0,0,0,0,0,
SS Cottrell (WI),2014-2021,34,10,6,18,4*,4.50,29,62.06,0,0,1,2,0,
LHD Dilhara (SL),2008-2008,2,1,1,18,18*,-,9,200.00,0,0,0,0,1,
XJ Doherty (AUS),2012-2013,11,4,3,18,9*,18.00,17,105.88,0,0,0,1,0,
BE Hendricks (SA),2014-2021,19,5,2,18,12*,6.00,23,78.26,0,0,1,0,1,
Khurram Chohan (CAN),2010-2010,4,4,2,18,8,9.00,14,128.57,0,0,0,1,1,
SW Masakadza (ZIM),2010-2013,7,5,1,18,9,4.50,24,75.00,0,0,1,1,0,
Nauman Anwar (PAK),2015-2015,1,1,0,18,18,18.00,10,180.00,0,0,0,2,1,
Naved-ul-Hasan (PAK),2006-2010,4,2,1,18,17*,18.00,16,112.50,0,0,0,0,2,
Nazmul Islam (BDESH),2018-2018,13,4,3,18,7,18.00,17,105.88,0,0,0,2,0,
P Suanchuai (THAI),2020-2020,4,4,1,18,13*,6.00,36,50.00,0,0,1,0,1,
Raza Hasan (PAK),2012-2014,10,4,4,18,13*,-,25,72.00,0,0,0,2,0,
S Snater (NL),2018-2019,13,6,1,18,10,3.60,16,112.50,0,0,2,0,1,
Syazrul Idrus (MAL),2019-2021,11,4,1,18,9*,6.00,18,100.00,0,0,1,1,1,
S Thuraisingam (CAN),2008-2008,3,2,1,18,15,18.00,24,75.00,0,0,0,1,0,
JW Wilson (NZ),2005-2005,1,1,0,18,18,18.00,14,128.57,0,0,0,2,0,
HN Ya France (NAM),2019-2019,6,3,0,18,13,6.00,20,90.00,0,0,1,1,1,
SA Abbott (AUS),2014-2020,7,2,1,17,12*,17.00,16,106.25,0,0,0,1,1,
Ashiqullah Said (Belg),2019-2021,12,6,2,17,9,4.25,16,106.25,0,0,1,2,0,
Awais Malik (QAT),2019-2020,18,7,0,17,9,2.42,27,62.96,0,0,3,1,0,
TL Best (WI),2013-2014,6,1,1,17,17*,-,9,188.88,0,0,0,0,2,
D Bishoo (WI),2011-2019,7,4,2,17,8,8.50,29,58.62,0,0,1,2,0,
TA Blundell (NZ),2017-2018,3,2,1,17,14,17.00,21,80.95,0,0,0,0,0,
A Bohara (NEPAL),2019-2021,24,7,3,17,12,4.25,19,89.47,0,0,2,1,1,
LA Dawson (ENG),2016-2018,6,2,1,17,10,17.00,8,212.50,0,0,0,2,1,
A Djorovic (SRB),2019-2021,6,5,3,17,9,8.50,36,47.22,0,0,0,1,0,
RR Emrit (WI),2018-2018,4,3,0,17,11,5.66,27,62.96,0,0,0,0,1,
D Gim (NGA),2019-2019,6,4,2,17,9*,8.50,32,53.12,0,0,1,0,0,
JR Hazlewood (AUS),2013-2021,13,3,1,17,13*,8.50,8,212.50,0,0,1,2,1,
Khurram Shahzad (QAT),2020-2020,7,5,1,17,10,4.25,29,58.62,0,0,0,2,0,
S Kizilkaya (TKY),2019-2019,4,4,0,17,8,4.25,28,60.71,0,0,1,3,0,
L Louwrens (NAM),2019-2019,1,1,1,17,17*,-,15,113.33,0,0,0,1,1,
JH Mensah (Ghana),2019-2019,2,2,0,17,16,8.50,10,170.00,0,0,0,1,1,
LN Onyango (KENYA),2007-2010,5,4,2,17,5,8.50,21,80.95,0,0,0,0,0,
TK Patel (USA),2019-2019,7,3,3,17,14*,-,18,94.44,0,0,0,1,0,
K Pierre (WI),2018-2020,10,5,3,17,9*,8.50,23,73.91,0,0,0,2,0,
GR Russ (PHI),2019-2019,3,2,1,17,10,17.00,29,58.62,0,0,0,0,0,
Shafraz Jaleel (Mald),2019-2019,4,3,0,17,17,5.66,14,121.42,0,0,2,1,1,
JR Singleton (),2019-2019,3,3,0,17,7,5.66,26,65.38,0,0,0,3,0,
T Singye (BHU),2019-2019,2,2,0,17,11,8.50,25,68.00,0,0,0,2,0,
Usman Ali (Saudi),2019-2020,8,3,1,17,8,8.50,25,68.00,0,0,0,1,0,
OR Willis (Caym),2019-2019,3,3,0,17,15,5.66,32,53.12,0,0,0,0,1,
Zain ul Tashnam (CRC),2019-2019,3,2,1,17,11,17.00,26,65.38,0,0,0,1,0,
IKO Aboagye (Ghana),2019-2019,4,4,0,16,7,4.00,37,43.24,0,0,1,0,0,
P Arrighi (Arg),2019-2019,5,4,0,16,11,4.00,46,34.78,0,0,1,0,0,
Imran Asif (Aut),2021-2021,3,3,0,16,10,5.33,12,133.33,0,0,0,2,0,
KK Bishnoi (),2019-2019,3,2,1,16,14,16.00,18,88.88,0,0,0,1,0,
M Chauhan (Fin),2019-2019,2,2,0,16,15,8.00,8,200.00,0,0,0,0,2,
U Dorji (BHU),2019-2019,2,2,0,16,8,8.00,17,94.11,0,0,0,2,0,
CJ Ferguson (AUS),2009-2009,3,3,0,16,8,5.33,19,84.21,0,0,1,1,0,
S Gajjar (CZK-R),2020-2020,3,3,1,16,14,8.00,22,72.72,0,0,1,1,0,
LF Goncalves (),2019-2019,3,2,0,16,13,8.00,21,76.19,0,0,0,1,0,
EH Hutchinson (USA),2019-2019,2,1,0,16,16,16.00,8,200.00,0,0,0,3,0,
WJ Lubbe (SA),2021-2021,2,2,0,16,12,8.00,10,160.00,0,0,0,4,0,
SSB Magala (SA),2021-2021,4,2,1,16,9*,16.00,13,123.07,0,0,0,0,2,
Mehrab Hossain jnr (BDESH),2008-2009,2,2,1,16,10,16.00,25,64.00,0,0,0,1,0,
K Modise (Botsw),2019-2019,3,3,0,16,10,5.33,16,100.00,0,0,1,2,1,
JB Reva (PNG),2015-2019,9,4,0,16,7,4.00,22,72.72,0,0,0,1,1,
KW Richardson (AUS),2014-2021,26,5,2,16,9,5.33,15,106.66,0,0,1,0,0,
BJ Rohrer (AUS),2013-2013,1,1,0,16,16,16.00,14,114.28,0,0,0,0,1,
BV Save (MAL),2020-2020,2,2,0,16,9,8.00,17,94.11,0,0,0,3,0,
EHSN Silva (UAE),2014-2014,2,2,1,16,13*,16.00,22,72.72,0,0,0,1,0,
P Taylor (CZK-R),2019-2021,11,3,1,16,7*,8.00,16,100.00,0,0,0,1,0,
Vikramjit Singh (NL),2019-2021,2,2,0,16,15,8.00,18,88.88,0,0,0,1,0,
Sarfraz Butt (Saudi),2020-2020,3,1,0,16,16,16.00,20,80.00,0,0,0,2,0,
Aamer Yamin (PAK),2015-2018,2,1,1,15,15*,-,6,250.00,0,0,0,1,1,
Abdul Majid (BHR),2020-2020,4,3,2,15,12,15.00,13,115.38,0,0,0,2,0,
AB Agarkar (INDIA),2006-2007,4,2,0,15,14,7.50,11,136.36,0,0,0,2,0,
Aanand Pandey (LUX),2021-2021,3,1,0,15,15,15.00,13,115.38,0,0,0,1,0,
Anowarul Islam (THAI),2019-2019,4,4,0,15,9,3.75,20,75.00,0,0,1,1,1,
NW Bracken (AUS),2006-2009,19,6,3,15,4*,5.00,22,68.18,0,0,1,1,0,
TL Chatara (ZIM),2010-2021,24,3,0,15,8,5.00,18,83.33,0,0,1,1,0,
K Christie (HKG),2019-2019,11,4,2,15,11*,7.50,20,75.00,0,0,0,0,0,
GL Cloete (SA),2018-2019,2,2,0,15,13,7.50,15,100.00,0,0,0,2,0,
N Dutta (CAN),2019-2019,11,3,2,15,12,15.00,13,115.38,0,0,0,1,0,
KR Ebanks (Caym),2019-2019,5,4,0,15,8,3.75,27,55.55,0,0,1,1,0,
Hamed Khan (HKG),2020-2020,3,3,0,15,10,5.00,19,78.94,0,0,1,2,0,
J Hill (PHI),2019-2019,4,3,0,15,6,5.00,20,75.00,0,0,0,3,0,
C Karunaratne (SL),2021-2021,3,2,1,15,12*,15.00,10,150.00,0,0,0,0,1,
E Katchay (CAN),2008-2008,4,3,2,15,8*,15.00,25,60.00,0,0,1,0,0,
AC Kose (TKY),2019-2019,4,4,0,15,15,3.75,33,45.45,0,0,3,3,0,
B Muzarabani (ZIM),2018-2021,18,8,5,15,8,5.00,18,83.33,0,0,2,3,0,
N Nankov (BUL),2019-2021,5,3,1,15,14,7.50,25,60.00,0,0,0,1,0,
Nasrulla Rana (HKG),2019-2020,11,6,2,15,7,3.75,26,57.69,0,0,3,0,0,
RN Patel (KENYA),2019-2019,2,2,1,15,15*,15.00,25,60.00,0,0,1,1,0,
LA Pomersbach (AUS),2007-2007,1,1,0,15,15,15.00,7,214.28,0,0,0,1,1,
RW Price (ZIM),2008-2012,16,9,4,15,7*,3.00,28,53.57,0,0,1,1,0,
N Rana (INDIA),2021-2021,2,2,0,15,9,7.50,27,55.55,0,0,0,0,0,
Shabir Noori (AFG),2012-2012,1,1,0,15,15,15.00,18,83.33,0,0,0,1,0,
Shoaib Ali (Saudi),2019-2020,8,3,0,15,9,5.00,21,71.42,0,0,1,2,0,
J Smits (NL),2008-2009,6,2,1,15,11*,15.00,27,55.55,0,0,0,0,0,
AO Suji (KENYA),2007-2010,8,5,2,15,7,5.00,29,51.72,0,0,0,0,0,
MK Tiwary (INDIA),2011-2012,3,1,0,15,15,15.00,17,88.23,0,0,0,0,0,
Usama Master (MWI),2019-2019,6,2,0,15,15,7.50,13,115.38,0,0,1,1,0,
JDF Vandersay (SL),2015-2019,10,7,6,15,8*,15.00,17,88.23,0,0,0,2,0,
VB van Jaarsveld (SA),2009-2009,3,3,0,15,12,5.00,23,65.21,0,0,1,0,0,
Abul Hasan (BDESH),2012-2018,5,2,0,14,9,7.00,11,127.27,0,0,0,2,0,
CM Akachukwu (NGA),2019-2019,8,5,3,14,8,7.00,15,93.33,0,0,0,0,1,
Ansh Tandon (UAE),2020-2020,1,1,0,14,14,14.00,9,155.55,0,0,0,3,0,
PRP Boissevain (NL),2019-2021,7,3,1,14,7*,7.00,19,73.68,0,0,1,1,0,
SG Borthwick (ENG),2011-2011,1,1,0,14,14,14.00,16,87.50,0,0,0,2,0,
G Dutta (Mex),2019-2019,7,6,0,14,8,2.33,28,50.00,0,0,3,1,0,
ST Finn (ENG),2011-2015,21,3,3,14,8*,-,19,73.68,0,0,0,1,0,
Ibrahim Zadran (AFG),2019-2019,3,3,0,14,11,4.66,26,53.84,0,0,0,0,1,
P Jayeshbhai Patel (PNM),2019-2019,2,2,1,14,8*,14.00,11,127.27,0,0,0,0,0,
T Langa (VAN),2019-2019,1,1,0,14,14,14.00,9,155.55,0,0,0,2,0,
A Manepalli (LUX),2020-2020,2,2,0,14,8,7.00,13,107.69,0,0,0,1,0,
JAH Marshall (NZ),2005-2008,3,2,0,14,13,7.00,15,93.33,0,0,0,2,0,
JWN Moses (Botsw),2019-2019,3,3,0,14,9,4.66,20,70.00,0,0,0,0,1,
AN Petersen (SA),2010-2010,2,2,0,14,8,7.00,19,73.68,0,0,0,1,0,
VD Philander (SA),2007-2007,7,4,0,14,6,3.50,28,50.00,0,0,0,0,0,
S Pillai (CRC),2019-2019,3,3,0,14,6,4.66,27,51.85,0,0,0,1,0,
C Prasad (CRC),2019-2019,3,3,1,14,11,7.00,29,48.27,0,0,1,1,0,
Rakibul Hasan (ITA),2019-2019,8,4,1,14,5*,4.66,17,82.35,0,0,1,1,0,
Saqlain Haider (UAE),2016-2016,6,5,1,14,7,3.50,35,40.00,0,0,0,0,0,
Shahzad Muhammad (Mex),2019-2019,2,1,0,14,14,14.00,7,200.00,0,0,0,1,1,
S Smith (BMUDA),2019-2019,5,3,3,14,7*,-,27,51.85,0,0,0,0,0,
S Varathappan (KUW),2019-2019,3,3,0,14,9,4.66,14,100.00,0,0,1,3,0,
R Vishwanath (LUX),2019-2021,5,4,2,14,5,7.00,16,87.50,0,0,0,1,0,
VS Wategaonkar (OMAN),2016-2016,2,1,0,14,14,14.00,14,100.00,0,0,0,1,0,
CM Wright (SCOT),2007-2009,3,1,0,14,14,14.00,18,77.77,0,0,0,0,0,
Abdullah Sheikh (NOR),2019-2019,2,2,0,13,11,6.50,18,72.22,0,0,0,1,0,
AR Adams (NZ),2005-2006,4,2,1,13,7,13.00,12,108.33,0,0,0,1,0,
G Burrows (IOM),2020-2020,1,1,0,13,13,13.00,16,81.25,0,0,0,1,0,
J Edness (BMUDA),2008-2008,3,3,0,13,9,4.33,28,46.42,0,0,1,0,0,
JA Fitzgerald (GIBR),2019-2019,4,2,2,13,11*,-,10,130.00,0,0,0,0,1,
CR Foggo (BMUDA),2008-2008,3,3,0,13,7,4.33,17,76.47,0,0,1,2,0,
SP Gauchan (NEPAL),2014-2015,9,5,2,13,6*,4.33,43,30.23,0,0,2,0,0,
PA Hitchcock (NZ),2008-2008,1,1,0,13,13,13.00,11,118.18,0,0,0,1,1,
ST Kanakalil (MLT),2020-2020,3,1,1,13,13*,-,6,216.66,0,0,0,2,0,
